"airbnb_listing_id","latitude","longitude","suburb","country","state","city","aquisition_date"
"1323259402993093234","-27.09854","-48.62205","Varzea","Brasil","Santa Catarina","Itapema","2025-01-06 19:25:01.524"
"695682678491300843","-27.1385783","-48.593307","Meia Praia","Brasil","Santa Catarina","Itapema","2022-10-03 13:39:14.000"
"605748852048435444","-27.132032","-48.60078","Meia Praia","Brasil","Santa Catarina","Itapema","2022-07-11 18:11:37.000"
"1190674276723780626","-27.13979","-48.59631","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:18:58.742"
"1050357191604236754","-27.12164","-48.6065","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:19:46.461"
"862330712753319323","-27.13201","-48.5978","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:51:58.835"
"1071003618790011795","-27.14243","-48.59535","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 20:04:07.859"
"1056698752886178077","-27.14259","-48.5863","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:36:45.709"
"1254392084331548457","-27.1363364","-48.5980521","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:38:26.554"
"1255178693593030744","-27.1299469","-48.60314090000001","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:38:39.287"
"1256723784627855477","-27.0965448","-48.6175933","Centro","Brasil","Santa Catarina","Itapema","2024-10-07 19:38:39.287"
"1056441270202826833","-27.12082","-48.60693","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:45:41.061"
"986228725951753024","-27.12785","-48.60352","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:08:36.131"
"980642326401425672","-27.09556","-48.61514","Centro","Brasil","Santa Catarina","Itapema","2024-10-07 19:08:36.916"
"1236888236862742446","-27.1166","-48.61067","Morretes","Brasil","Santa Catarina","Itapema","2024-09-30 19:08:25.198"
"1242302594456760963","-27.13621724323076","-48.60013872385025","Meia Praia","Brasil","Santa Catarina","Itapema","2024-09-30 19:08:23.986"
"1193347652334673191","-27.1372734","-48.5970003","Meia Praia","Brasil","Santa Catarina","Itapema","2024-08-19 19:10:41.286"
"1206616023790805525","-27.12431","-48.60809","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 20:04:32.235"
"1211444250585349363","-27.1304822","-48.5988857","Meia Praia","Brasil","Santa Catarina","Itapema","2024-08-19 19:10:48.428"
"910707550951342167","-27.1259994507","-48.6049995422","Meia Praia","Brasil","Santa Catarina","Itapema","2023-07-31 19:04:32.000"
"45973790","-27.14006","-48.5906","Meia Praia","Brasil","Santa Catarina","Itapema","2021-10-25 14:40:16.352"
"16451544","-27.0979995728","-48.6150016785","Centro","Brasil","Santa Catarina","Itapema","2023-09-18 19:04:43.000"
"973160738029639257","-27.1420001984","-48.5970001221","Meia Praia","Brasil","Santa Catarina","Itapema","2023-09-18 19:05:11.000"
"1051978232488580620","-27.08799934387207","-48.61399841308594","Casa Branca","Brasil","Santa Catarina","Itapema","2024-01-01 19:01:22.373"
"1057777398171376301","-27.09878158569336","-48.62192535400391","Tabuleiro dos Oliveiras","Brasil","Santa Catarina","Itapema","2024-01-01 19:01:45.676"
"1057349559495676134","-27.132999420166016","-48.60100173950195","Meia Praia","Brasil","Santa Catarina","Itapema","2024-01-01 19:01:45.676"
"1048551226044145540","-27.13599967956543","-48.59999847412109","Meia Praia","Brasil","Santa Catarina","Itapema","2024-01-01 19:01:43.508"
"1051400298310494200","-27.131000518798828","-48.60100173950195","Meia Praia","Brasil","Santa Catarina","Itapema","2024-01-01 19:03:01.299"
"1287181259883706860","-27.0880623","-48.6150258","Casa Branca","Brasil","Santa Catarina","Itapema","2024-11-18 19:01:19.522"
"1288317456841105821","-27.1250646","-48.6070631","Meia Praia","Brasil","Santa Catarina","Itapema","2024-11-18 19:01:24.621"
"1283961557256501933","-27.117932343511008","-48.61116176150159","Morretes","Brasil","Santa Catarina","Itapema","2024-11-18 19:07:31.232"
"1287289583582915738","-27.1357668","-48.5957527","Meia Praia","Brasil","Santa Catarina","Itapema","2024-11-18 19:07:31.232"
"1281343553476595754","-27.12993794548872","-48.6010207386415","Meia Praia","Brasil","Santa Catarina","Itapema","2024-11-18 19:07:31.232"
"1281942401940101122","-27.084442467951806","-48.62344142049551","Alto Sao Bento","Brasil","Santa Catarina","Itapema","2024-11-18 19:07:55.923"
"1284365865529385073","-27.127087095518817","-48.60473682467471","Meia Praia","Brasil","Santa Catarina","Itapema","2024-11-18 19:07:36.594"
"989345231542781584","-27.128999710083008","-48.59999847412109","Meia Praia","Brasil","Santa Catarina","Itapema","2023-10-24 16:54:51.777"
"982642009007231841","-27.099000930786133","-48.6150016784668","Centro","Brasil","Santa Catarina","Itapema","2023-10-24 16:57:12.468"
"1305066565188143498","-27.12674","-48.61627","Morretes","Brasil","Santa Catarina","Itapema","2024-12-16 19:01:28.616"
"1305300195228438309","-27.142818064832767","-48.59052103168176","Meia Praia","Brasil","Santa Catarina","Itapema","2024-12-16 19:01:33.609"
"1309667855765227447","-27.135465389054712","-48.59447498815407","Meia Praia","Brasil","Santa Catarina","Itapema","2024-12-16 19:01:33.516"
"1305114061221278336","-27.13513536194357","-48.60237013452999","Meia Praia","Brasil","Santa Catarina","Itapema","2024-12-16 19:01:33.516"
"1310910867031688625","-27.11961050625215","-48.60837645828724","Meia Praia","Brasil","Santa Catarina","Itapema","2024-12-16 19:01:33.516"
"1205971101659299009","-27.137878846203947","-48.59582807868719","Meia Praia","Brasil","Santa Catarina","Itapema","2024-12-16 19:08:35.260"
"1304404694000639638","-27.11696859921787","-48.60999114811421","Morretes","Brasil","Santa Catarina","Itapema","2024-12-16 19:08:35.260"
"1298771012972286379","-27.11790803051284","-48.61372075974941","Morretes","Brasil","Santa Catarina","Itapema","2024-12-16 19:08:44.575"
"1308804641940706812","-27.115196585981717","-48.61505055427092","Morretes","Brasil","Santa Catarina","Itapema","2024-12-16 19:08:45.490"
"1302385137743714245","-27.14371186123322","-48.58942834715656","Meia Praia","Brasil","Santa Catarina","Itapema","2024-12-16 19:08:42.088"
"1321924579099353012","-27.0896","-48.60424","Canto da Praia","Brasil","Santa Catarina","Itapema","2025-01-06 19:03:28.183"
"1319052943695390684","-27.10901541428585","-48.61460465946098","Tabuleiro dos Oliveiras","Brasil","Santa Catarina","Itapema","2025-01-06 19:03:40.766"
"1316787254143531676","-27.1273139","-48.6235604","Morretes","Brasil","Santa Catarina","Itapema","2025-01-06 19:03:40.766"
"1314800180043022973","-27.08808928008317","-48.6150310188532","Casa Branca","Brasil","Santa Catarina","Itapema","2025-01-06 19:03:37.409"
